company,address,profit,latitude,longitude
Takeda Pharma A/S,Dybendal Alle 10 Taastrup,84.741454,55.663151,12.286355
Novo Nordisk A/S,novo alle 1 Bagsvaerd,47.615,55.754555,12.455185
Hoejbjerg Maskinfabrik A/S,Oddervej 200 Hoejbjerg,44.552483,56.101378,10.206692
Oersted Wind Power A/S,Kraftvaerksvej 53 Fredericia,28.469074,55.515935,9.623871
Danske Bank A/S,Holmens Kanal 2 Koebenhavn,26.288,55.678496,12.585484
Ball ApS,Kloevermarken 29 Billund,23.722228,55.723464,9.128516
Lego A/S,Aastvej 1 Billund,19.732991,55.733219,9.122261
A.P. Moeller og Hustru,Esplanaden 50 Koebenhavn,10.1364,55.68809,12.597707
Pandora A/S,Havneholmen 17 Koebenhavn,7.264265,55.660651,12.561623
Lundbeck A/S,Ottiliavej 9 Valby,5.289,55.658051,12.516743
Coloplast A/S,Holtedam 1 Humlebaek,3.797,55.965062,12.494715
Augustinus Fonden,Sankt Annae Plads 13 Koebenhavn,5.762274,55.681932,12.590934
Sund og Baelt Holding A/S,Vester Soegade 10 Koebenhavn,3.1125,55.67597,12.559293
ISS World Services A/S,Buddingevej 197 Soeborg,2.176,55.751218,12.497248
Bestseller A/S,Fredskovvej 5 Brande,2.17476,55.949837,9.145088
Jysk Holding A/S,Soedalsparken 18 Brabrand,3.288311,56.15422,10.093572
Siemens Gamesa Renewable Energy A/S,Borupvej 16 Brande,2.144026,55.955817,9.122486
Danfoss Power Solutions Holding ApS,Nordborgvej 81 Nordborg,2.134204,55.0549024,9.7588571
VKR Holding A/S,Breeltevej 18 Hoersholm,2.078,55.897529,12.484345
Salling Group A/S,Salling Group Rosbjergvej Lyngby Aarhus Municipality Central Denmark Region 8220 Denmark,2.367,56.1611078,10.05700778
Grundfos Holding A/S,Poul Due Jensens Vej 7 Bjerringbro,1.759,56.380773,9.669192
Chr. Hansen A/S,Boege Alle 10 Hoersholm,1.710567,55.873438,12.488103
Radius Elnet A/S,Kraftvaerksvej 53 Fredericia,1.709162,55.515935,9.623871
LEGO Fonden,Hoejmarksvej 8 Billund,1.697401,55.733948,9.121128
Genmab A/S,Kalvebod Brygge 43 Koebenhavn,1.611971,55.665634,12.567677
GN Store Nord A/S,Lautrupbjerg 7 Ballerup,1.606,55.738723,12.387155
Aarhus Vand A/S,34 Gunnar Clausens Vej Aarhus,1.483503,56.108449,10.146058
Nets Denmark A/S,Lautrupbjerg 10 Ballerup,1.467,55.74088,12.387224
Koebenhavns Lufthavne A/S,Lufthavnsboulevarden 6 Kastrup,1.4173,55.629513,12.639366
LEO Pharma A/S,Industriparken 55 Ballerup,1.146,55.726768,12.393723
PFA DK Ejendomme Lav A/S,Sundkrogsgade 4 Koebenhavn,1.393136,55.708655,12.591288
Ineos E&P A/S,Teknikerbyen 5 Virum,1.387387,55.800035,12.495474
Thomas Cook Northern Europe A/S,Kay Fiskers Plads 9 Koebenhavn,1.329217,55.629304,12.58026
Dades A/S,Lyngby Hovedgade 4 Kongens Lyngby,1.324,55.775355,12.49586
Lego Juris A/S,Koldingvej 2 Billund,1.28,55.724598,9.130554
Oticon A/S,9 egedal kongebakken,1.23821,55.749182,12.294416
Ejendomsselskabet Nordtyskland,Axeltorv 2 Koebenhavn,1.072466,55.675515,12.565704
Royal Unibrew A/S,Faxe Alle 1 Faxe,1.05562,55.259938,12.11499
Stark Denmark A/S,Skanderborgvej 277 Viby J,1.053518,56.1231635,10.1518955
Nissens Cooling Solutions A/S,Ormhoejgaardvej 9 Horsens,0.998622,55.843391,9.837108
Aalborg Kloak A/S,Stigsborg Brygge 5 Noerresundby,0.955858,57.054409,9.935113
Dupont Nutrition Biosciences ApS,Langebrogade 1 Koebenhavn,0.892,55.670896,12.581924
Statens Ejendomssalg A/S,Gammel Kongevej 60  Frederiksberg,0.875685,55.6759585,12.5433837
Equinor Refining Denmark A/S,Melbyvej 17 Kalundborg,0.875685,55.65493,11.103608
Velux A/S,Aadalsvej 99 Hoersholm,0.825,55.898257,12.481045
ATP-Ejendomme A/S,Gothersgade 49 Koebenhavn ,0.783,55.6826469,12.5804916
Jeudan A/S,Bredgade 30 Koebenhavn,0.765514,55.683347,12.589654
Linak A/S,Smedevaenget 8 6430,0.731393,54.994804,9.857047
Gn Audio A/S,Lautrupbjerg 7 Ballerup,0.720379,55.738723,12.387155
Scandinavian Tobacco Group A/S,Sydmarken 42 2860,0.7168,55.733454,12.475729
Unomedical A/S,Aaholmvej 1 Lejre,0.715709,55.560193,11.954778
Udviklingsselskabet By & Havn I/S,Nordre Toldbod 7 Koebenhavn ,0.709838,55.688614,12.598554
Hofor Fjernvarme P/S,Oerestads Boulevard 35 Koebenhavn,0.702756,55.639857,12.584221
Radiometer Medical ApS,Aakandevej 21 Broenshoej,0.701756,55.709896,12.484367
Zealand Pharma A/S,Sydmarken 11 2860,0.625056,55.734253,12.483439
Siemens A/S,Borupvang 9 Ballerup,0.609526,55.732466,12.379904
Hjoerring Vandselskab A/,Aastrupvej 9 Hjoerring,0.607988,57.455049,9.97663
Biomar Group A/S,Vaerkmestergade 25 Aarhus,0.573536,56.1494395,10.2059215
DSV Road Holding A/S,Hovedgaden 630 Hedehusene,0.565433,55.6474,12.163282
Arla Foods Ingredients Group P/S,Soenderhoej 10 Viby J,0.559046,56.1220185,10.1596948
Coop Danmark A/S,Roskildevej 65 Albertslund,0.555,55.66201,12.360786
Interdan Bil A/S,Hovedvejen 1 Glostrup,0.547067,55.667398,12.417693
DSB,Telegade 2 Taastrup,0.539,55.647522,12.27597
Netcompany A/S,Groenningen 17 Koebenhavn K,0.53518,55.689618,12.590014
Saint-Gobain Nordic A/S,Robert Jacobsens Vej 62 Koebenhavn S,0.529615,55.618418,12.572184
Silkeborg Forsyning A/S,Tietgensvej 3 Silkeborg,0.488734,56.199565,9.577644
Vejle Spildevand A/S,Toldbodvej 20 Vejle,0.481264,55.702059,9.538642
Steen & Stroem Danmark A/S & Bruun'S Galleri A/S,Arne Jacobsens Allé 20 Koebenhavn S,0.951902,55.631225,12.577893
Syd Energi Holding A/S & Andelsselskabet af 5. november,Edison Park 1 Esbjerg N,0.893588,55.510467,8.484418
OK AmbA,Aahave Parkvej 11 Viby J,0.466266,56.132644,10.157896
Vagn Esmann Christiansens Eftf. ApS,Tjaerebyvej 61 Roskilde,0.463845,55.6006047,12.1057399
Rema 1000 Danmark A/S,Marsalle 32 Horsens,0.457005,55.836288,9.798884
Park Street Nordicom A/S,Svanevej 12 2400 Koebenhavn,0.448429,55.700104,12.534926
Bygma Gruppen A/S,Transformervej 12 2860,0.445911,55.731609,12.466225
Widex A/S,Nymoellevej 6 Lynge,0.445246,55.8230181,12.3043325
Kmk Holding Sdr. Felding ApS,Vardevej 140 Soender Felding,0.444324,55.9380628,8.7857736
Roedovre Centrum Aktieselskabet,Roedovre Centrum 202 Roedovre,0.437451,55.680013,12.456494
Wihlborgs A/S,Mileparken 22 2740,0.435335,55.716016,12.424532
Interdan Holding A/S,Ryvangs Allé 54 Hellerup,0.432447,55.726312,12.569543
Lauritzen Fonden,Tranegaardsvej 20 Hellerup,0.432376,55.740297,12.572487
Coop A.m.b.a,Roskildevej 45 Albertslund,0.4301,55.662417,12.363504
Ecco Holding A/S,Industrivej 5 Bredebro,0.425147,55.059453,8.826752
Euro Cater Group A/S,Vidalsvej 6 Svenstrup J,0.4136,56.984255,9.857445
AAK Group Treasury A/S,Slipvej 4 Aarhus C,0.41112,56.145366,10.213251
Skandinavisk Motor Co. A/S,Park Allé 355 Broendby,0.407431,55.650783,12.381113
Foss Analytical A/S,Nils Foss Alle 1 Hilleroed,0.406855,55.919727,12.275956
Dan-Foam ApS,Holmelund 43 Aarup,0.402735,55.380618,10.058082
Nine United A/S,Havnen 1 Horsens,0.401244,55.858832,9.859318
Ambu A/S,Baltorpbakken 13 Ballerup,0.393,55.73152,12.335231
Struers ApS,Pederstrupvej 84 Ballerup,0.386362,55.730211,12.329951
West Pharmaceutical Services Danmark A/S,Fuglevangsvej 51 Horsens,0.384652,55.857744,9.815922
